Composer,Piece,Notes
Debussy,Clair de lune (Suite bergamasque No. 3),The quintessential peaceful piano piece
Debussy,Rêverie,Gentle and floating; deeply calming
Debussy,La cathédrale engloutie (Préludes Book 1),Slow and meditative
Debussy,Arabesque No. 1,Light and unhurried
Debussy,Nuages (from Nocturnes),Orchestral; like watching clouds drift
Chopin,Nocturne in E-flat major Op. 9 No. 2,The most famous nocturne; soft and songlike
Chopin,Nocturne in C-sharp minor Op. posth.,Tender and melancholic
Chopin,Ballade No. 1 in G minor,Starts gently (builds dramatically mid-piece)
Chopin,Prelude in D-flat major Op. 28 No. 15 (Raindrop),Repetitive and soothing
Chopin,Prelude in E minor Op. 28 No. 4,Very slow; deeply emotional
Liszt,Liebestraum No. 3 (Dream of Love),Warm and flowing; one of his most beautiful
Liszt,Consolations No. 3 in D-flat major,Exactly what the name suggests
Liszt,La lugubre gondola,Slow and contemplative
Liszt,Un sospiro (Trois études de concert No. 3),Gentle and breath-like
